params,score
"{""learning_rate"": 0.01, ""max_depth"": 3, ""n_estimators"": 100}",0.5804
"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100}",0.30557
"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 100}",0.31489
"{""learning_rate"": 0.2, ""max_depth"": 3, ""n_estimators"": 100}",0.31664
"{""learning_rate"": 0.5, ""max_depth"": 3, ""n_estimators"": 100}",0.33205
"{""learning_rate"": 0.01, ""max_depth"": 5, ""n_estimators"": 100}",0.6028
"{""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 100}",0.32558
"{""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 100}",0.3203
"{""learning_rate"": 0.2, ""max_depth"": 5, ""n_estimators"": 100}",0.33056
"{""learning_rate"": 0.5, ""max_depth"": 5, ""n_estimators"": 100}",0.33115
"{""learning_rate"": 0.01, ""max_depth"": 7, ""n_estimators"": 100}",0.6016
"{""learning_rate"": 0.05, ""max_depth"": 7, ""n_estimators"": 100}",0.33001
"{""learning_rate"": 0.1, ""max_depth"": 7, ""n_estimators"": 100}",0.33058
"{""learning_rate"": 0.2, ""max_depth"": 7, ""n_estimators"": 100}",0.33633
"{""learning_rate"": 0.5, ""max_depth"": 7, ""n_estimators"": 100}",0.34248
"{""learning_rate"": 0.01, ""max_depth"": 9, ""n_estimators"": 100}",0.6014
"{""learning_rate"": 0.05, ""max_depth"": 9, ""n_estimators"": 100}",0.33054
"{""learning_rate"": 0.1, ""max_depth"": 9, ""n_estimators"": 100}",0.33407
"{""learning_rate"": 0.2, ""max_depth"": 9, ""n_estimators"": 100}",0.33319
"{""learning_rate"": 0.5, ""max_depth"": 9, ""n_estimators"": 100}",0.32881
"{""learning_rate"": 0.01, ""max_depth"": 3, ""n_estimators"": 200}",0.36029
"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 200}",0.31447
"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 200}",0.31437
"{""learning_rate"": 0.2, ""max_depth"": 3, ""n_estimators"": 200}",0.31781
"{""learning_rate"": 0.5, ""max_depth"": 3, ""n_estimators"": 200}",0.33361
"{""learning_rate"": 0.01, ""max_depth"": 5, ""n_estimators"": 200}",0.38398
"{""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 200}",0.32154
"{""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 200}",0.3181
"{""learning_rate"": 0.2, ""max_depth"": 5, ""n_estimators"": 200}",0.32969
"{""learning_rate"": 0.5, ""max_depth"": 5, ""n_estimators"": 200}",0.33041
"{""learning_rate"": 0.01, ""max_depth"": 7, ""n_estimators"": 200}",0.38349
"{""learning_rate"": 0.05, ""max_depth"": 7, ""n_estimators"": 200}",0.33161
"{""learning_rate"": 0.1, ""max_depth"": 7, ""n_estimators"": 200}",0.33015
"{""learning_rate"": 0.2, ""max_depth"": 7, ""n_estimators"": 200}",0.33651
"{""learning_rate"": 0.5, ""max_depth"": 7, ""n_estimators"": 200}",0.34243
"{""learning_rate"": 0.01, ""max_depth"": 9, ""n_estimators"": 200}",0.38122
"{""learning_rate"": 0.05, ""max_depth"": 9, ""n_estimators"": 200}",0.3316
"{""learning_rate"": 0.1, ""max_depth"": 9, ""n_estimators"": 200}",0.33376
"{""learning_rate"": 0.2, ""max_depth"": 9, ""n_estimators"": 200}",0.33314
"{""learning_rate"": 0.5, ""max_depth"": 9, ""n_estimators"": 200}",0.32881
"{""learning_rate"": 0.01, ""max_depth"": 3, ""n_estimators"": 300}",0.31104
"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 300}",0.31458
"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 300}",0.31487
"{""learning_rate"": 0.2, ""max_depth"": 3, ""n_estimators"": 300}",0.32068
"{""learning_rate"": 0.5, ""max_depth"": 3, ""n_estimators"": 300}",0.33434
"{""learning_rate"": 0.01, ""max_depth"": 5, ""n_estimators"": 300}",0.33544
"{""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 300}",0.32154
"{""learning_rate"": 0.1, ""max_depth"": 5, ""n_estimators"": 300}",0.31826
"{""learning_rate"": 0.2, ""max_depth"": 5, ""n_estimators"": 300}",0.32944
"{""learning_rate"": 0.5, ""max_depth"": 5, ""n_estimators"": 300}",0.33029
"{""learning_rate"": 0.01, ""max_depth"": 7, ""n_estimators"": 300}",0.33503
"{""learning_rate"": 0.05, ""max_depth"": 7, ""n_estimators"": 300}",0.33088
"{""learning_rate"": 0.1, ""max_depth"": 7, ""n_estimators"": 300}",0.33012
"{""learning_rate"": 0.2, ""max_depth"": 7, ""n_estimators"": 300}",0.33656
"{""learning_rate"": 0.5, ""max_depth"": 7, ""n_estimators"": 300}",0.34243
"{""learning_rate"": 0.01, ""max_depth"": 9, ""n_estimators"": 300}",0.33746
"{""learning_rate"": 0.05, ""max_depth"": 9, ""n_estimators"": 300}",0.33154
"{""learning_rate"": 0.1, ""max_depth"": 9, ""n_estimators"": 300}",0.33376
"{""learning_rate"": 0.2, ""max_depth"": 9, ""n_estimators"": 300}",0.33314
"{""learning_rate"": 0.5, ""max_depth"": 9, ""n_estimators"": 300}",0.32881
"{""learning_rate"": 0.01, ""max_depth"": 3, ""n_estimators"": 400}",0.30596
"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 400}",0.31455
"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 400}",0.31687
"{""learning_rate"": 0.2, ""max_depth"": 3, ""n_estimators"": 400}",0.32095
"{""learning_rate"": 0.5, ""max_depth"": 3, ""n_estimators"": 400}",0.33365
"{""learning_rate"": 0.01, ""max_depth"": 5, ""n_estimators"": 400}",0.32679
"{""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 400}",0.32062
